Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_ProSignal_ABT-410-RC,1,Buzzer,
"C1, C2, C6",0805,3,100n,
"C3, C4",0805,2,10u,
C5,0805,1,22u,
D1,0805,1,CHRG_LED,
D2,LED_WS2812B-2020_2.0x2.0mm,1,WS2812B-2020,
D3,D_SOD-123,1,MBR0520,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,JST PH 2.0,
J2,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C,
J3,PinSocket_1x04_P2.54mm_Vertical,1,BREAKOUT,
L1,1008,1,CVH252009-2R2M,
"Q1, Q2, Q3, Q4, Q5",SOT-23-3,5,MMBT2222A,
"R1, R2, R3, R4, R5, R6, R7, R8",0805,8,220R,
"R10, R9",0805,2,5k1 1%,
"R11, R12, R13, R15, R17, R20",0805,6,1k,
R14,0805,1,2k 1%,
R16,0805,1,300R,
R18,0805,1,47R,
R19,0805,1,1R,
R21,0805,1,10k 1%,
SW1,SW_Slide_SPDT_MINI,1,ON/OFF,
SW2,SW_PUSH_6mm,1,SECONDS,
SW3,SW_PUSH_6mm,1,MINUTES,
SW4,SW_PUSH_6mm,1,RESET_TIME,
SW5,SW_Slide_SPDT_MINI,1,VOLUME,
SW6,SW_PUSH_6mm,1,START/STOP,
SW7,SW_Slide_SPDT_MINI,1,FUNCTION_SELECTOR,
TH1,PinSocket_1x02_P2.54mm_Vertical,1,NRBE104F3435B2F,
U1,CA56-12EWA,1,LTC-5723HR,
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega4808-A,
U3,SOT-23-5,1,DIO5518B,
U4,SOT-23-5,1,TPS613222ADBV,
