Designator,Mid X,Mid Y,Rotation,Layer
BZ1,171.42,-80.79,0.0,top
C1,132.93,-70.55,180.0,top
C2,139.95,-80.8,90.0,top
C3,104.81,-44.74,270.0,top
C4,112.15,-44.74,270.0,top
C5,122.49,-77.48,90.0,top
C6,177.14,-44.89,0.0,top
D1,110.575,-50.83,90.0,top
D2,112.475,-57.725,0.0,top
D3,174.0,-89.55,0.0,top
J1,111.6,-41.5,0.0,bottom
J2,104.4,-60.75,270.0,top
J3,176.345,-63.9,180.0,top
L1,113.94,-77.47,90.0,top
Q1,171.0,-41.05,180.0,top
Q2,171.0,-45.485,180.0,top
Q3,171.0,-49.935,180.0,top
Q4,171.0,-54.36,180.0,top
Q5,175.5,-72.0,0.0,top
R1,136.154286,-61.200707,90.0,top
R10,113.7,-66.275,90.0,top
R11,158.0,-59.525,0.0,top
R12,113.175,-50.83,270.0,top
R13,158.0,-63.025,0.0,top
R14,106.29,-48.39,0.0,top
R15,158.0,-66.525,0.0,top
R16,116.875,-62.6,270.0,top
R17,158.0,-70.025,0.0,top
R18,162.62,-83.7,180.0,top
R19,162.6,-78.63,180.0,top
R2,151.582858,-61.200707,90.0,top
R20,158.0,-73.425,0.0,top
R21,177.12,-52.63,180.0,top
R3,145.411428,-61.200707,90.0,top
R4,133.068572,-61.200707,90.0,top
R5,129.982858,-61.200707,90.0,top
R6,142.325714,-61.200707,90.0,top
R7,148.497142,-61.200707,90.0,top
R8,139.24,-61.200707,90.0,top
R9,110.5,-66.275,90.0,top
SW1,104.2,-72.51,270.0,top
SW2,166.25,-92.75,180.0,top
SW3,149.25,-92.75,180.0,top
SW4,132.25,-92.75,180.0,top
SW5,158.03,-81.16,90.0,top
SW6,115.25,-92.75,180.0,top
SW7,104.2,-87.4,270.0,top
TH1,177.15,-48.75,270.0,top
U1,140.81,-47.5225,90.0,top
U2,140.8,-73.0,180.0,top
U3,108.425,-44.925,180.0,top
U4,118.4,-77.4875,0.0,top
